,City Location,Company Name,Degree,Description,Job Title,Search Criteria,Source
240,"Columbus, OH",Nationwide Mutual Insurance Company,user+support,"
Coordinates with users to determine requirements. Roles may require After Hours On Call support. Six years of technical software and hardware development,...","Specialist, Infrastructure Eng - Application Services Eng",user+support,Indeed
241,"Troy, OH",ITW,user+support,"
Coordinate, facilitate, and provide advanced level reactive and proactive technical support including, on-site and telephone support, mechanical/electrical...",Technical Product Specialist II,user+support,Indeed
242,"Columbus, OH",Smart Source Inc,user+support,"
This is over the phone support to support an ongoing project. Help with laptop and desktop imaging, repairs and support for Support locations....",Help Desk Lead,user+support,Indeed
243,"Dayton, OH 45409",Teradata,user+support,"
In addition, working directly with vendors on upgrades, future plans, as well as support issues is required....","Hyperion Systems Engineer - Dayton, OH",user+support,Indeed
244,"Columbus, OH",NES Associates LLC,user+support,"
3-5 years of experience performing VTC device administration, technical support and end-user customer service is essential for this assignment....",Video Teleconferencing (VTC) Specialist,user+support,Indeed
245,"Columbus, OH",NBBJ,user+support,"
Support be provided to a highly diverse staff across both local and remote users. Intermediate knowledge of Active Directory User Administration....",IT Help Desk Technician,user+support,Indeed
246,"Dayton, OH",ICF,user+support,"
Assist the functional users with User Acceptance Testing*. Candidate provides project lead support, support for configuration management, documentation...",Part -Time Configuration Analyst,user+support,Indeed
247,"Cincinnati, OH 45242",Encore Technologies,user+support,"
Systems Engineer for the support of Linux, Storage and Backup technologies. Demonstrable knowledge of support systems and processes coupled with strong...","Support and administration of Linux, Storage and Backup tech...",user+support,Indeed
248,"Dayton, OH 45402 (Downtown area)",CareSource,user+support,"
Support helpdesk ticket requests for user profile updates and other tier 1 support requests. Support various other PPM related tasks....",PPM Administrator,user+support,Indeed
249,"Dayton, OH 45409",Teradata,user+support,"
Provide support for Workday users. Maintain and support technical. Deliver training to Workday users. Recognized leader in data and analytics, Teradata is....",HRMS Analyst,user+support,Indeed
250,"Columbus, OH 43228 (Westland area)",Pomeroy IT Solutions,user+support,"
Complete ad hoc or project-based IT hardware installation tasks and support cabling projects as neededComplete staging / integration services of IT hardware as...",IT Technician,user+support,Indeed
251,"Cincinnati, OH","Automated Packaging Systems, Inc.",user+support,"
Monitor user acceptance and application compatibility post installation. Perform system set-up & training support for demos, trials and new placements....",AirPouch Field Service Technician,user+support,Indeed
252,"Columbus, OH",Time Warner Cable,user+support,"
Join us and discover an unbeatable package of ongoing training and support that will boost your career progress....",Field Technician - East Columbus,user+support,Indeed
253,"Westerville, OH",JPMorgan Chase,user+support,"
Associate - Application support analyst. Support Sustained Resiliency, Disaster Recovery, and High Availability events....",Associate - Application support analyst,user+support,Indeed
254,"Dayton, OH",SAIC,user+support,"
(d) Provides support to end users on a variety of issues. (h) Provides second-tier support to end users for either PC, server, or mainframe applications or...",Helpdesk Specialist (Senior) Job,user+support,Indeed
255,"Dayton, OH",Altamira Technologies Corporation,user+support,"
And Functional Support Teams (FSTs) - AFSOC and AFSPACE. Construct an analytic approach for each Request for Information (RFI) assigned by the applicable...",Multiple-discipline Intelligence (Multi-INT) Analyst,user+support,Indeed
256,"Lima, OH 45801",Paychex,user+support,"
Provides second-level support to Premier HR Generalists and PBS Client Service Representatives in support of Premier Core and PBS Online Services users....",Online Services Advisor II - MSP,user+support,Indeed
257,"Columbus, OH",Nationwide Mutual Insurance Company,user+support,"
Participates in User Acceptance Testing (UAT), business readiness testing, design reviews, and heuristic evaluations of web applications to gather user...","Specialist, Internet Bus Cnslt",user+support,Indeed
258,"Lockbourne, OH 43137 (South Central Accord area)",GENCO,user+support,"
Generate maintenance tickets for support from appropriate. Generate multiple daily reports for both internal and external (OEM) users....",Vendor Relations,user+support,Indeed
259,"Westerville, OH",Mediware,user+support,"
Escalate advanced support issues to a Level 2 Customer Care Analyst. Diagnose system errors via examination of the user interface and/or application database....","Customer Care Analyst, Associate",user+support,Indeed
260,"Columbus, OH 43215 (Downtown area)",Experis,user+support,"
IT Help Desk / Technical Support. The Business Application Team provides support to Operations, Sales, and Distribution end users, for their application and...",Help Desk / Technical Support,user+support,Indeed
261,"Columbus, OH",State Auto Insurance Companies,user+support,"
Run and build reports as necessary to support business unit. Supports sales, product lines, actuarial and modeling departments within the Personal Lines...",Data Specialist,user+support,Indeed
262,"Columbus, OH",StaidLogic,user+support,"
Assist with functional testing and user acceptance testing for assigned projects. Will develop requirements, models, workflows, forms, reports, and metrics as...",Business Systems Analyst,user+support,Indeed
263,"Westerville, OH",Connexions Loyalty,user+support,"
Works collaboratively across the organization to promote and provide information so that colleagues and contributors support objectives, understand needs, and...",Training Specialist/Mentor,user+support,Indeed
264,"Westerville, OH 43081",The Affinion Group,user+support,"
Works collaboratively across the organization to promote and provide information so that colleagues and contributors support objectives, understand needs, and...",Training Specialist/Mentor,user+support,Indeed
265,"Dayton, OH 45433",CDO Technologies,user+support,"
Recommends systems modifications to reduce user problems. Simulates or recreates user problems to resolve operating difficulties....",Help Desk Technician I,user+support,Indeed
266,"Dayton, OH",CU Appraisal Services,user+support,"
Provide direct support for clients, appraisers, and client advocates as related to QC Department protocol, appraisal report inquiries and general industry...",QC Underwriter,user+support,Indeed
267,"Mason, OH",Cintas,user+support,"
Support and recommend reporting/analytics projects prioritization and planning efforts. 'Cintas’ corporate staff departments, including Marketing, Management...",Business Consultant - Customer Analytics,user+support,Indeed
268,"Dayton, OH",Reed Elsevier,user+support,"
Participates in software evaluations, including installation, configuration, testing, and technical support for the customers, production services and computer...",Technology Internship,user+support,Indeed
269,"Mason, OH 45040",Luxottica Group,user+support,"
Previous retail support strongly preferred. Collaborates with users to provide technical support, solicits ideas for system improvements and ensures adoption...",Administrator HR Systems (Kronos),user+support,Indeed
270,"Batavia, OH 45103","Clermont County Common Pleas Court, Ohio",user+support,"
Resolves software and hardware problems for users in a timely manner. Maintains current and new documentation for all systems and oversees user training....",Computer Specialist,user+support,Indeed
271,"Columbus, OH",Hewlett Packard Enterprise,user+support,"
Support requirements management and change management processes. Produce visualization, user experience and configuration elements of solution design....",Business Analyst,user+support,Indeed
272,"Cincinnati, OH",Great American Insurance Group,user+support,"
Staff the Annuity IT Desktop team, assisting end users with technical support of desktop computers, laptops, applications and related technology....",Desktop Tech Intern,user+support,Indeed
273,"New Bremen, OH",Crown Equipment Corporation,user+support,"
Service Training and Support. Help collect specific site information and comparison information to support sales initiatives....",Reg Motive Power Specialist,user+support,Indeed
274,"Columbus, OH 43212",MediaSource,user+support,"
Support media relations efforts for a variety of projects. Networker - comfortable reaching out to current content users and new contacts via a combination of...",Media Relations Associate,user+support,Indeed
275,"Cincinnati, OH",Fifth Third Bank,user+support,"
Instruct end users in the use ofequipment,software, and/or reference materials. A minimum of 2 year of customer support, call center, contact center preferred....",Systems Support Specialist,user+support,Indeed
276,"Columbus, OH","Insight Enterprises, Inc.",user+support,"
Provides telephone support for a geographically dispersed user community using a combination of desktop remote control products....",Services Technician,user+support,Indeed
277,"Columbus, OH 43228 (Westland area)",Teleperformance,user+support,"
Abide by and support management directives. One year Technical Support & Network service experience. Open and manage trouble ticket system for User issues,...",Technical Support Specialist,user+support,Indeed
278,"Cincinnati, OH","Intelligrated, Inc.",user+support,"
Support of Cisco router (voice gateways) and other infrastructure. Train and mentor L1 support services team in relation to unified communications technologies....",Cisco Voice Administrator,user+support,Indeed
279,"Miamisburg, OH",Verso Corporation,user+support,"
This is a high-functioning HR Analyst seat that plays in critical role in the support, maintenance, and continuous improvement of Verso’s HR Data and...",HRIS/Compensation Analyst - Experienced,user+support,Indeed
280,"Mason, OH",AmeriSolutions Inc.,user+support,"
Computer and peripheral break-fix support skills. Three years experience in hardware and software support and troubleshooting preferred....",Desktop Support Technician II,user+support,Indeed
281,"Fort Thomas, KY",Kindred At Home,user+support,"
Receive documentation from various sources and distribute copies/originals to other office users as needed and ensure compliance to company records policies....",Home Health Records Coordinator,user+support,Indeed
282,"Columbus, OH",TEKSystems,user+support,"
Provides remote technical assistance to end users beyond regular business hours during an emergency or in support of special business projects and initiatives....",Helpdesk,user+support,Indeed
283,"Dublin, OH","Configuration Management, Inc.",user+support,"
Support SCCM 2012 Administration only. Providing reporting and analysis along with incident support. Must be comfortable with a war room environment for...",74195 SCCM Admin,user+support,Indeed
284,"West Chester, OH 45069",Pole/Zero Corporation,user+support,"
Experience user of an integrated ERP system (IFS is preferable). The Stockroom Clerk is responsible for assembling kits and maintaining part support for...",Stockroom Clerk,user+support,Indeed
285,"Findlay, OH 45840",Cooper Tire & Rubber Company,software+development,Experience using 3D CAD software is preferred. The Product Design Engineer will be engaged throughout the product development process including competitive...,Product Design Associate Engineer,software+development,Indeed
286,"Cincinnati, OH",OHIO NATIONAL FINANCIAL SERVICES,software+development,"The Systems Analyst develops advanced applications and enhancements, system interfaces and is responsible for the full software development life cycle....",Systems Analyst - Annuity and Retirement Plans Services Admi...,software+development,Indeed
287,United States,"Audible, Inc.",software+development,"Software Development Engineers must demonstrate a bias for action, customer obsession and be focused on delivering results....",Software Development Engineer- Relocation Opportunity,software+development,Indeed
288,"Dayton, OH","Tyler Technologies, Inc.",software+development,"
Knowledge of software integration and connectivity. Follow software release management and version control procedures....",Reports Developer Intern,software+development,Indeed
289,"Columbus, OH",StaidLogic,software+development,"
Responsible for the complete IT project life cycle development including design, implementation & product deployment. Experience must include utilizing:....",Software Engineer,software+development,Indeed
290,"Beavercreek, OH 45431",HumanIT,software+development,"
Experience with developing software with various languages; Understanding of all phases of Software Migration Projects;...",Junior Developer / Technologist,software+development,Indeed
291,"Dayton, OH",KEYW Corporation,software+development,"
Shall have at least 3 years of experience as a Software Engineer in software development/engineering, including requirements analysis, software development,...",Software Engineer,software+development,Indeed
292,"Dayton, OH 45410 (Walnut Hills area)",Eastway Corporation,software+development,"
Preferred - 2 years experience with ASP web development, 1 year experience with Microsoft SQL Server 2005. Maintaining existing software systems in order to...",Software Engineer,software+development,Indeed
293,"Dayton, OH",Reed Elsevier,software+development,"
An excellent work-life balance, a great social life, structured career planning and a 2 year fast-track development programme....",Technology Graduate Entry Scheme: Software Engineer 1,software+development,Indeed
294,"Miamisburg, OH",rgen,software+development,"
Knowledge of the full software development lifecycle:. Knowledge of computer development software, such as SQL, Java, J2EE, etc....",IT - Software Developer / Programmer 4- (13305-1),software+development,Indeed
295,"Beavercreek, OH","Abraxas, Cubic Global Defense",software+development,"
Strong software development background with 2-8 years of demonstrated Java/J2EE experience. This position requires knowledge of the full development, testing,...",Software Engineer I/II,software+development,Indeed
296,"Beavercreek, OH",Cubic Corporation,software+development,"
Strong software development background with 2-8 years of demonstrated Java/J2EE experience. This position requires knowledge of the full development, testing,...",Software Engineer I/II,software+development,Indeed
297,United States,Amazon Corporate LLC,software+development,Experienced in Agile or Scrum software development methodologies. Automation architecture development and/or maintenance experience....,Software Development Engineer in Test | Prime & Delivery Exp...,software+development,Indeed
298,"Columbus, OH",Allavanti Group,software+development,"Support full development lifecycle and has technical knowledge of all phases of application development (design, code, test, debug, documentation, deployment)....",Senior Data Analytics Architect,software+development,Indeed
299,"Columbus, OH","ODW Logistics, Inc",software+development,"Create models for new database development and/or changes to existing ones. Work with application development staff to develop database architectures, coding...",Database Administrator,software+development,Indeed
300,"New Albany, OH 43054",Bob Evans Inc.,software+development,"
Works in conjunction with development manager to determine a strategic approach for each development assignment....",Web Developer E-Commerce Systems,software+development,Indeed
301,"Dayton, OH",CompuGain,software+development,"
Knowledge of the full software development lifecycle:. Knowledge of computer development software, such as SQL, Java, J2EE, etc....",Software Developer / Programmer 2,software+development,Indeed
302,"Dayton, OH",Taylor Communications Inc.,software+development,"
Software Engineer (ASP.NET) – Healthcare Product Development. Be a primary developer for applications using Microsoft ASP.NET (C#, JavaScript, & SQL Server)...",Software Engineer (ASP.NET),software+development,Indeed
303,"Columbus, OH 43229 (Northland area)","Community Banc Consulting, Inc.",software+development,"
Experience working with time/incident tracking software. We partner with our clients to provide them with extensive project development, our engineers work from...",IT Engineer,software+development,Indeed
304,"Dayton, OH",NextGen Federal Systems,software+development,"
We are currently seeking a *clearable mid-level to senior-level Software Development professional*. The selected candidate will participate in all phases of the...",Java Developer,software+development,Indeed
305,"Columbus, OH",JPMorgan Chase,software+development,"
3-5 years of experience in ESB/Broker technology application development or related experience. Java development, IIB/IBM WebSphere Message Broker, IBM...",DataPower Application Developer-Associate,software+development,Indeed
306,"Dayton, OH",DCS Corp,software+development,"
Expertise leading software development and testing activities, including ISTQB and Agile methodologies. Experience supporting software testing of intelligence...",Software Analyst - Test,software+development,Indeed
307,"Dayton, OH 45431",LinQuest,software+development,"
Perform mission simulation software design & development in C/C++. Software defined radios). Design, integrate, and test software enhancements using...",AFRL Software Engineer Analyst,software+development,Indeed
308,"Dayton, OH",KEYW Corporation,software+development,"
Experience as a Software Engineer in software development/engineering, including requirements analysis, software development, installation, integration,...",Software Engineer/Statistician,software+development,Indeed
309,"Columbus, OH",CyberCoders,software+development,We need an energetic and enthusiastic Software Engineer who has experience working with a variety of financial products and full-life cycle product development...,.NET Engineer,software+development,Indeed
310,United States,"A2Z Development Center, Inc.",software+development,"We are looking for engineers who are enthusiastic about the game development process, want to remove bottlenecks and build software to help our developers build...",Software Development Engineer - Core Technology- Relocation...,software+development,Indeed
311,United States,Amazon Corporate LLC,software+development,"5+ years of software development experience. 3+ years of software development experience in Objective C, and Cocoa Touch Frameworks....","Software Development Engineer, Amazon Flex iOS App- Relocati...",software+development,Indeed
312,"Dayton, OH",DCS Corp,software+development,"
Participate within a software development team to design, develop, test and deploy assigned modeling and simulation development tasks....",Software Engineer,software+development,Indeed
313,"Dublin, OH 43017",ViaQuest,software+development,"
Has at least three years of experience in software development using Microsoft stack (C#, ASP.NET, SQL Server, etc.)....",Application Developer,software+development,Indeed
314,"Dayton, OH",DCS Corp,software+development,"
In this role, you will have Computer Programming and Software Development responsibilities within an integrated software development team supporting mission...",Software Engineer -NASIC,software+development,Indeed
315,"Dayton, OH",Radiance Technologies Inc.,software+development,"
We are looking for a candidate interested in gaining industry experience in software development. Objected-Oriented design and development knowledge....",Software Engineer Aide,software+development,Indeed
316,"Columbus, OH",prophecy consulting inc,software+development,"
10+ years of extensive hands on Application Development work experience throughout the entire project lifecycle....",Java Developer,software+development,Indeed
317,"Dayton, OH","Taylor Communications (Standard Register, Inc.)",software+development,"
Stay current with software and industry trends TECHNICAL REQUIREMENTS:. Experience with WordPress, MySql, and PHP development is a plus....",Developer - Front End Web for Email Marketing,software+development,Indeed
318,"Dayton, OH 45431",Leidos,software+development,"
Experience with software development life-cycle products from requirements, design, implementation, and testing phases....",Software Engineer,software+development,Indeed
319,"Dublin, OH",Metasense USA,software+development,"
To develop, maintain, test and debug software to meet generally defined requirements in a Windows client/server environment utilizing software development...",.Net Developer,software+development,Indeed
320,"New Bremen, OH",Crown Equipment Corporation,software+development,"
Stay informed of advances and pertinent changes in software development techniques and technologies. Two years Web Development Experience....",Web Applications Developer II,software+development,Indeed
321,United States,Elemental Technologies LLC,software+development,"7+ years of professional software development experience with Enterprise Applications. Elemental Technologies, an Amazon Web Services company, is the leader in...",Sr Software Development Engineer - Live Control Systems- Rel...,software+development,Indeed
322,"Cincinnati, OH 45209",Principle Solutions Group,software+development,"Software Enginner, Software Developer, Bootstrap, React, Webpack, SSRS, SSIS C#, .Net, SQL, MVC, JavaScript, Angular....",C# .Net Developer,software+development,Indeed
323,"Columbus, OH",Nationwide Mutual Insurance Company,software+development,"Leads the development of analytic strategies for the business unit. Knowledge of statistical software and databases such as ACL, R, SAS, SPSS, MatLab, Teradata,...",Sr Data Analytics Consultant,software+development,Indeed
324,"Dayton, OH",Ball Aerospace,software+development,"
Familiarity with other software languages and development environments. Associate Engineer – Software Developer (Matlab)....",Software Developer - Matlab (659974),software+development,Indeed
325,"Washington Court House, OH 43160",Sugar Creek Packing Co.,software+development,"
Guide software development team in the implementation of selected designs and strategies. Participate in the development of strategic plans and road maps for...",Information Technology - System Architect Junior,software+development,Indeed
326,"Cincinnati, OH","AtriCure, Inc.",software+development,"
Ensure compliance with all application software licensing agreements. Bachelors degree or 10+ years of equivalent experience in application development....",Enterprise Application Manager,software+development,Indeed
327,"Columbus, OH",Express,software+development,"
Perform software development (program design, coding, testing, debugging); Experience with Agile development methodologies (SCRUM preferred)....",Sr. Software Developer,software+development,Indeed
328,"Westerville, OH 43081","Computer Aid, Inc.(CAI)",software+development,"
Through this program, individuals living in and around the company’s Delaware office are performing IT functions, ranging from scanning and data entry, to...",QA 1 - apprentice - CAI Autism Initiative Program,software+development,Indeed
329,"Dayton, OH",Siertek Ltd,software+development,"
Minimum of Associate's Degree in Computer Science, Software Engineering, Web Design or related field. SierTeK LTD is seeking *Web Developer*....",Web Developer,software+development,Indeed
330,"Columbus, OH 43085 (Worthington area)","SEA, Ltd.",software+development,"
Focus will be on maintaining currently deployed systems and helping develop new architecture for future use Website software development using .Net (.Net core,...",Software Developer,software+development,Indeed
331,"Dayton, OH",Premier Health Partners,software+development,"
Tool and application development, including (but not exclusive) forms, risk assessments, calculators, etc. Understands and incorporates testing methodologies to...",ASSOC WEB DEVELOPER,software+development,Indeed
332,"Dayton, OH",SAIC,software+development,"
(j) Participates in development of software user manuals. Designs and develops new software products or major enhancements to existing software....",Software Engineer Job,software+development,Indeed
333,"Indianapolis, IN",Eli Lilly,software+development,"The information security cloud and applications architect is also responsible for the overall technical security roadmap for application lifecycle management,...",Advisor-Enterprise Security Architect,software+development,Indeed
334,"Indianapolis, IN",CyberCoders,software+development,"At least 2 years Salesforce software development- Visualforce, APEX, Force.com, Web Services- SOAP & REST- Clear understanding of data structures and...",Salesforce Developer,software+development,Indeed
335,"Columbus, OH 43215",Modis,software+development,Lead development team in Agile Software Development process. Ability to write object oriented software applications....,".NET Developer Job Columbus, Ohio - Direct Hire",software+development,Indeed
336,"Westerville, OH 43082",Cheryl's Cookies and Brownies,software+development,"
Where required, administer and resolve issues with associated end-user workstation networking software products....",Desktop Support Technician (Temporary),software+development,Indeed
337,"Dayton, OH 45409",Teradata,software+development,"
Knowledge of Software Development Life-Cycle, Software CMM & Application Support processes. IT Software Engineer....","Early Career IT Software Engineer, Applications Development",software+development,Indeed
338,"Dayton, OH",Northrop Grumman,software+development,"
Experience with Agile software development. Software architecture skills (e.g. Conducting multidisciplinary research and collaborating with equipment designers...",Software Engineer 3/4 - TS/SCI,software+development,Indeed
339,"Dayton, OH",NextGen Federal Systems,software+development,"
Assist in the development, design, and implementation of new business initiatives. NextGen is seeking part-time employees (prefer current students) with to...",Development Support Intern (IT),software+development,Indeed
340,"Columbus, OH",JPMorgan Chase,software+development,"
Adhere to IT Control Policies throughout design, development, and testing and incorporate Corporate Architectural Standards into application design...",Applications Developer,software+development,Indeed
341,"Dayton, OH",BTL Technologies Inc.,software+development,"
Web development environments. IOS/Android Application Development and Support. Collection software to facilitate aeromedical education,....",Web Application Developer II,software+development,Indeed
342,"Blue Ash, OH",Everything But The House (EBTH),software+development,"
Assist with the installation of new hardware and software and train EBTH employees on use. Answer internal and external inquiries via ticketing system regarding...",IT Specialist,software+development,Indeed
343,"Wright-Patterson AFB, OH",Riverside Research,software+development,"
Software development and hardware integration experience. Design and development of real-time embedded software....",Software Engineer,software+development,Indeed
344,"Dublin, OH",Prism Inc.,software+development,"
Knowledge of Agile software development using SCRUM preferred, but not required. Experience using an Integrated Development Environment &mdash;Eclipse....",Java Developer (no third party candidates),software+development,Indeed
345,United States,Amazon Corporate LLC,software+development,"Knowledge of professional software engineering practices & best practices for the full software development life cycle, including coding standards, code reviews...",Software Development Engineer - Amazon Video- Relocation Opp...,software+development,Indeed
346,"Carmel, IN",CNO Financial Group,software+development,All build projects must be reviewed to provide technical development requirements and high level designs. All technical design documents must be reviewedand...,Solution Architect,software+development,Indeed
347,United States,"Amazon Fulfillment Services, Inc.",software+development,Experienced in Agile or Scrum software development methodologies. 4+ years of experience as a Software Development Engineer in Test (SDET)....,Software Development Engineer in Test II- Relocation Opportu...,software+development,Indeed
357,United States,Elemental Technologies LLC,software+development,"3+ years’ software development experience. Media software development (protocols, DRM, compression, etc.). A passion for software development and distributed...",Software Development Engineer - Elemental Media Store- Reloc...,software+development,Indeed
358,"Cincinnati, OH",Principle Solutions Group,software+development,8+ years of core Java development experience. Ability to research and solve complex software application issues....,Core Java Developer / Architect,software+development,Indeed
359,"Columbus, OH 43085","Worthington Industries, Inc",software+development,Supports development of and executes marketing plans that grow market share and brand reputation and improve customer experience....,Marketing Coordinator - Industrial Products,software+development,Indeed
360,"Dayton, OH",USfalcon,software+development,"
Support development and test of the program system hardware and software and its integration into the program system architecture....",Software Engineer SME,software+development,Indeed
361,"Cincinnati, OH","Resolvit, LLC",software+development,"
SQL development experience is preferred. Work to continuously improve web development processes and practices....",Web Developer,software+development,Indeed
362,"Cincinnati, OH",GE Digital,software+development,"
Act as a member of the Software Center of Excellence, representing the face of high quality design and development practices....",Software Engineer,software+development,Indeed
363,"Columbus, OH",StaidLogic,software+development,"
This position is responsible for directing the activity in different test, development and production environments utilized by the program....",Curam Developer,software+development,Indeed
364,"Dublin, OH",Alten Calsoft Labs,software+development,"
Software Development Experience 6-8 years. Software Developer (UniFi). As Software Developer, you will participate in product development sessions with business...",Software Developer (UniFi),software+development,Indeed
365,"Columbus, OH 43235 (Northwest area)",Safelite Group,software+development,"
Solid Understanding of software development life-cycle, implementation methodologies, and development tools....",Cognos Developer,software+development,Indeed
366,"Dayton, OH",Fahrenheit IT,software+development,"
Evaluate proposed software or software enhancement for feasibility. Measure, evaluate and test new or modified software programs and software development...",Software Quality Analyst,software+development,Indeed
367,"Columbus, OH 43215 (Downtown area)",Pillar Technology,software+development,"
Learn to create and design intricate software solutions using the latest agile development practices. Become a true agile generalist by experiencing all phases...",Software Journeyman Developer,software+development,Indeed
368,"Columbus, OH 43215 (Downtown area)",ComResource,software+development,"
Technical knowledge of all phases of application development to support full software development lifecycle (SDLC)....",Web Developer,software+development,Indeed
369,United States,Amazon Corporate LLC,software+development,4+ years of software development experience with the following technologies:. Proficiency in object oriented development and ability to apply OO concepts....,"Android Software Development Engineer, Flex Mobile- Relocati...",software+development,Indeed
370,"Indianapolis, IN",Apex Systems Inc,software+development,"Design, develop, code, test, implement, maintain and support software development. The qualified candidate will have deep experience in application development...",Lead .NET Developer,software+development,Indeed
371,United States,Amazon Corporate LLC,software+development,IOS development experience. Experience with Scrum/Agile development methodologies. 2+ years professional experience in software developmen....,Software Development Engineer (Android)- Relocation Opportun...,software+development,Indeed
372,"Beavercreek, OH",DRS Technologies,software+development,"
Software engineering responsibilities include design, development, simulate, analysis, testing and debugging of computer software and firmware applications and...",Software Engineer (Co-op/Intern),software+development,Indeed
373,"Blue Ash, OH 45242",Encore Technologies,software+development,"
The developer will be responsible for Angular JS design/Java, development, testing, debugging and documenting software components....",329 - Java Developer,software+development,Indeed
374,"Columbus, OH 43228 (Westland area)",NuGrowth Solutions,software+development,"
SIS, a leading provider of Agency Management Systems for Independent Insurance Agents, is seeking a Software Developer to join our growing Partner XE...",Software Developer,software+development,Indeed
375,"Columbus, OH",StaidLogic,software+development,"
Ability to lead a group through an architectural development process and collaborate with application development teams, architects and other members of the...",Software Architect,software+development,Indeed
376,"Cincinnati, OH",Health Carousel,software+development,"
We are currently seeking candidates for a new growth position in software development. This position will focus primarily on system analysis, coding, testing...",Software Developer,software+development,Indeed
377,"Evendale, OH",GE Aviation,software+development,"
Minimum 2 years of experience in requirements gathering, design, development, testing, and implementation of software applications....",Software Engineer,software+development,Indeed
378,"Cincinnati, OH 45249",Vantiv,software+development,"
Experience with Agile methodologies for application development preferred but not required. Software Engineer-Hyperion Applications will be part of the Agile...",Sernior Software Engineer - Hyperion Applications,software+development,Indeed
379,"Columbus, OH 43215 (Downtown area)",Franklin University,software+development,"
Maintain currently customized code, design, document, and implement software solutions to meet the ever changing and growing demands of the university....",Programmer/Analyst,software+development,Indeed
380,"Dayton, OH","Taylor Communications (Standard Register, Inc.)",software+development,"
Taylor Communications is seeking a motivated Software Development Intern for our Dayton, Ohio location. Design, develop, test, deploy, maintain and improve...",Software Development Intern,software+development,Indeed
381,"Cincinnati, OH","Intelligrated, Inc.",software+development,"Provide timely communication on significant issues or developments. Intelligrated Software offers warehouse execution systems, a scalable suite of software that...",Manufacturing Engineer - Design for Manufacturability,software+development,Indeed
382,United States,EXPERIAN,software+development,"Sales & Business Development Primary Location :. Experian’s clients expect world class software, data and analytic solutions and we deliver!...",Business Consultant (Decision Analytics / Consumer Risk ),software+development,Indeed
383,"Warsaw, IN",Adecco USA,software+development,"New Product Development and Development. Senior Development Engineer job responcibilities include:. CNC programming, Computer Aided Design Systems, and...",Senior Development Engineer - 105992,software+development,Indeed
384,"Columbus, OH",Novella Clinical,software+development,"
Knowledge of programming and validation methods, and software development life cycle. O Develop QC test plans, perform independent unit testing, complete...",Contract SAS Programmer,software+development,Indeed
385,"Dayton, OH",Northrop Grumman,software+development,"
Ensures software standards are met. Conducts multidisciplinary research and collaborates with equipment designers and/or hardware engineers in the planning,...",Software Engineer - UI Developer,software+development,Indeed
386,"Columbus, OH",maven,software+development,"
C# Development experience. Agile Methodology & Test Driven Development. We have positions available for you as a software developer....",.net developer,software+development,Indeed
387,"Dayton, OH","deciBel Research, Inc.",software+development,"
The Software Engineer will participate in the design, development, deployment and implementation of software products along with experiencing all phases of the...",Software Engineer,software+development,Indeed
388,"Columbus, OH",WillowWood,software+development,"
The Application Developer will be responsible for software program development, maintenance, troubleshooting and support for both product development activities...",Application Developer - IT,software+development,Indeed
389,"Troy, OH",ITW,software+development,"
Software Engineering Intern. Fast learner with capability to grow in a variety of software development projects....",Software Engineering Intern,software+development,Indeed
390,"Columbus, OH 43219 (Northeast area)",Fast Switch,software+development,"
Agile Software development practices. This position will use the ITIL framework to provide technical assistance, workflow development, and software...",Junior Front End Developer,software+development,Indeed
391,"Columbus, OH 43201 (Weinland Park area)",Battelle,software+development,"
+ Support project, proposal and internal development efforts for complex software tool development supporting major systems and subsystems....",Software Systems Engineer,software+development,Indeed
392,"Worthington, OH",Chepri,software+development,"
Experience with automation software. Troubleshoot and correct network, hardware, and software issues. We are a fast-growing web and mobile development company,...",Systems Engineer,software+development,Indeed
393,"Cincinnati, OH 45237",Principle Solutions Group,software+development,In this role you will be responsible for the development and maintenance of functional elements on our client’s internet and mobile applications....,Web Application Developer,software+development,Indeed
394,"Marion, IN 46952",TLC Management,software+development,"Knowledge on the use of personal computers, e-mail accounts, software programs such as Word and Excel and minor office machines such as faxes and copiers;...",Activities Driver - Colonial Oaks,software+development,Indeed
395,"Milan, OH",Freudenberg-NOK Sealing Technologies,software+development,"Software Design, Development and Implementation- Facilitate the design, development, automated installation, implementation and effective utilization of new...",IT Support Analyst - Part Time,software+development,Indeed
396,"Columbus, OH",Nationwide Mutual Insurance Company,software+development,"
Business acumen, use of Software Development Life Cycle (SDLC) methodologies & tools, requirements specification, static testing, traceability....",IT Business Analyst - Jr Analyst,software+development,Indeed
397,"Columbus, OH 43215 (Downtown area)",ComResource,software+development,"
Prior Experience with large scale J2EE deployments, Java programming or Software Development Life Cycle. The Senior DevOps Engineer will work collaboratively...",DevOps Engineer,software+development,Indeed
398,"Wright-Patterson AFB, OH",CSRA,software+development,"
Participate in development of software user manuals. HITS Software Engineer. Design and develop new software products or major enhancements to existing software...",HITS Software Engineer,software+development,Indeed
399,"Pataskala, OH","Ascena Retail Group, Inc.",software+development,"
Research, design, documentation, and modification of integration solutions and COTS applications throughout the software development life cycle....",Programmer Analyst-ascena,software+development,Indeed
400,"Beavercreek, OH","Modern Technology Solutions, Inc. (MTSI)",software+development,"
MTSI is seeking an individual with 0-2 years of experience in software design, software development, software testing....",Entry-Level Software Developer,software+development,Indeed
